pair,month,minutes,hole,crossed_minutes,bid_match,ask_match,quality,included,triangulation_pips
EURUSD,2019-01,31786,False,0,1.0,1.0,True,True,
EURUSD,2019-02,28792,False,0,1.0,1.0,True,True,
EURUSD,2019-03,30229,False,0,1.0,1.0,True,True,
EURUSD,2019-04,31666,False,0,1.0,1.0,True,True,
EURUSD,2019-05,32210,False,0,1.0,1.0,True,True,
EURUSD,2019-06,28968,False,0,1.0,1.0,True,True,
EURUSD,2019-07,33103,False,0,1.0,1.0,True,True,
EURUSD,2019-08,31487,False,0,1.0,1.0,True,True,
EURUSD,2019-09,30376,False,0,0.998,0.998,True,True,
EURUSD,2019-10,33098,False,0,1.0,1.0,True,True,
EURUSD,2019-11,30030,False,0,1.0,1.0,True,True,
EURUSD,2019-12,30726,False,0,0.9981,0.9981,True,True,
EURUSD,2020-01,31653,False,0,1.0,1.0,True,True,
EURUSD,2020-02,28705,False,0,0.9979,0.9979,True,True,
EURUSD,2020-03,31765,False,0,1.0,1.0,True,True,
EURUSD,2020-04,31614,False,0,1.0,1.0,True,True,
EURUSD,2020-05,30166,False,0,1.0,1.0,True,True,
EURUSD,2020-06,31585,False,0,1.0,1.0,True,True,
EURUSD,2020-07,32790,False,0,1.0,1.0,True,True,
EURUSD,2020-08,30233,False,0,1.0,1.0,True,True,
EURUSD,2020-09,31419,False,0,1.0,1.0,True,True,
EURUSD,2020-10,31334,False,0,1.0,1.0,True,True,
EURUSD,2020-11,29095,False,0,1.0,1.0,True,True,
EURUSD,2020-12,31917,False,0,0.9981,0.9981,True,True,
EURUSD,2021-01,28775,False,0,1.0,1.0,True,True,
EURUSD,2021-02,28613,False,0,1.0,1.0,True,True,
EURUSD,2021-03,32930,False,0,1.0,1.0,True,True,
EURUSD,2021-04,31081,False,0,1.0,1.0,True,True,
EURUSD,2021-05,28870,False,0,1.0,1.0,True,True,
EURUSD,2021-06,31309,False,0,1.0,1.0,True,True,
EURUSD,2021-07,31223,False,0,1.0,1.0,True,True,
EURUSD,2021-08,31268,False,0,1.0,1.0,True,True,
EURUSD,2021-09,31274,False,0,1.0,1.0,True,True,
EURUSD,2021-10,29888,False,0,1.0,1.0,True,True,
EURUSD,2021-11,31466,False,0,1.0,1.0,True,True,
EURUSD,2021-12,32746,False,0,1.0,1.0,True,True,
EURUSD,2022-01,30172,False,0,1.0,1.0,True,True,
EURUSD,2022-02,28690,False,0,1.0,1.0,True,True,
EURUSD,2022-03,33034,False,0,1.0,1.0,True,True,
EURUSD,2022-04,29948,False,0,1.0,1.0,True,True,
EURUSD,2022-05,31690,False,0,1.0,1.0,True,True,
EURUSD,2022-06,31528,False,0,0.9962,0.9962,True,True,
EURUSD,2022-07,30124,False,0,1.0,1.0,True,True,
EURUSD,2022-08,33036,False,0,1.0,1.0,True,True,
EURUSD,2022-09,31418,False,0,0.9981,0.9981,True,True,
EURUSD,2022-10,30261,False,0,0.996,0.996,True,True,
EURUSD,2022-11,31537,False,0,0.9943,0.9943,True,True,
EURUSD,2022-12,31368,False,0,1.0,1.0,True,True,
EURUSD,2023-01,31523,False,0,1.0,1.0,True,True,
EURUSD,2023-02,25670,True,0,1.0,1.0,True,False,
EURUSD,2023-03,23206,True,0,0.9949,0.9949,True,False,
EURUSD,2023-04,19933,True,0,0.994,0.994,True,False,
EURUSD,2023-05,23354,True,0,1.0,1.0,True,False,
EURUSD,2023-06,22073,True,0,1.0,1.0,True,False,
EURUSD,2023-07,21864,True,0,0.9945,0.9945,True,False,
EURUSD,2023-08,32987,False,0,1.0,1.0,True,True,
EURUSD,2023-09,29774,False,0,0.984,0.986,False,False,
EURUSD,2023-10,31762,False,0,1.0,1.0,True,True,
EURUSD,2023-11,31501,False,0,1.0,1.0,True,True,
EURUSD,2023-12,28932,False,0,0.9938,0.9959,True,True,
EURUSD,2024-01,31403,False,0,1.0,1.0,True,True,
EURUSD,2024-02,30144,False,0,1.0,1.0,True,True,
EURUSD,2024-03,30084,False,0,1.0,1.0,True,True,
EURUSD,2024-04,31511,False,0,1.0,1.0,True,True,
EURUSD,2024-05,32658,False,0,1.0,1.0,True,True,
EURUSD,2024-06,28714,False,0,1.0,1.0,True,True,
EURUSD,2024-07,32843,False,0,1.0,1.0,True,True,
EURUSD,2024-08,31396,False,0,1.0,1.0,True,True,
EURUSD,2024-09,30248,False,0,1.0,1.0,True,True,
EURUSD,2024-10,32948,False,0,1.0,1.0,True,True,
EURUSD,2024-11,30016,False,0,1.0,1.0,True,True,
EURUSD,2024-12,30415,False,0,0.9981,0.9981,True,True,
EURUSD,2025-01,31604,False,0,1.0,1.0,True,True,
EURUSD,2025-02,28731,False,0,0.9979,0.9979,True,True,
EURUSD,2025-03,30287,False,0,0.998,0.998,True,True,
EURUSD,2025-04,31613,False,0,0.9981,0.9981,True,True,
EURUSD,2025-05,31456,False,0,1.0,1.0,True,True,
EURUSD,2025-06,30347,False,0,1.0,1.0,True,True,
EURUSD,2025-07,33040,False,0,1.0,1.0,True,True,
EURUSD,2025-08,30138,False,0,1.0,1.0,True,True,
EURUSD,2025-09,31542,False,0,1.0,1.0,True,True,
EURUSD,2025-10,32832,False,0,0.9982,0.9982,True,True,
EURUSD,2025-11,28787,False,0,1.0,1.0,True,True,
EURUSD,2025-12,31648,False,0,1.0,1.0,True,True,
EURUSD,2026-01,30150,False,0,1.0,1.0,True,True,
EURUSD,2026-02,28704,False,0,1.0,1.0,True,True,
EURUSD,2026-03,31740,False,0,1.0,1.0,True,True,
EURUSD,2026-04,31532,False,0,0.9981,0.9981,True,True,
EURUSD,2026-05,29546,False,0,1.0,1.0,True,True,
EURUSD,2026-06,31521,False,0,1.0,1.0,True,True,
EURUSD,2026-07,32774,False,0,0.9982,0.9982,True,True,
EURUSD,2026-08,30257,False,0,0.996,0.998,True,True,
EURUSD,2026-09,240,True,0,0.0,0.0,False,False,
GBPUSD,2019-01,31770,False,0,1.0,1.0,True,True,
GBPUSD,2019-02,28780,False,0,1.0,1.0,True,True,
GBPUSD,2019-03,30233,False,0,1.0,1.0,True,True,
GBPUSD,2019-04,31642,False,0,1.0,1.0,True,True,
GBPUSD,2019-05,32194,False,0,1.0,1.0,True,True,
GBPUSD,2019-06,28954,False,0,1.0,1.0,True,True,
GBPUSD,2019-07,33074,False,0,1.0,1.0,True,True,
GBPUSD,2019-08,31465,False,0,1.0,1.0,True,True,
GBPUSD,2019-09,30362,False,0,0.998,0.998,True,True,
GBPUSD,2019-10,33097,False,0,1.0,1.0,True,True,
GBPUSD,2019-11,30046,False,0,1.0,1.0,True,True,
GBPUSD,2019-12,30720,False,0,0.9981,0.9981,True,True,
GBPUSD,2020-01,31669,False,0,1.0,1.0,True,True,
GBPUSD,2020-02,28775,False,0,0.9979,0.9979,True,True,
GBPUSD,2020-03,31666,False,0,1.0,1.0,True,True,
GBPUSD,2020-04,31631,False,0,1.0,1.0,True,True,
GBPUSD,2020-05,30169,False,0,1.0,1.0,True,True,
GBPUSD,2020-06,31654,False,0,1.0,1.0,True,True,
GBPUSD,2020-07,32890,False,0,1.0,1.0,True,True,
GBPUSD,2020-08,30363,False,0,1.0,1.0,True,True,
GBPUSD,2020-09,31602,False,0,1.0,1.0,True,True,
GBPUSD,2020-10,31419,False,0,1.0,1.0,True,True,
GBPUSD,2020-11,29200,False,0,1.0,1.0,True,True,
GBPUSD,2020-12,31960,False,0,0.9981,0.9981,True,True,
GBPUSD,2021-01,28869,False,0,1.0,1.0,True,True,
GBPUSD,2021-02,28720,False,0,1.0,1.0,True,True,
GBPUSD,2021-03,33018,False,0,1.0,1.0,True,True,
GBPUSD,2021-04,31240,False,0,1.0,1.0,True,True,
GBPUSD,2021-05,28908,False,0,1.0,1.0,True,True,
GBPUSD,2021-06,31329,False,0,1.0,1.0,True,True,
GBPUSD,2021-07,31185,False,0,1.0,1.0,True,True,
